Certificate Type,Certificate No.,Prefix,Name,Authors,Affiliation,Title of Presentation
Best Oral Presentation,SX26-C-152,,​,​,​,​
Best Oral Presentation,SX26-C-153,,​,​,​,​
Best Oral Presentation,SX26-C-154,,​,​,​,​
Best Oral Presentation,SX26-C-155,,​,​,​,​
Best Oral Presentation,SX26-C-156,,​,​,​,​
Best Oral Presentation,SX26-C-157,,​,​,​,​
Best Oral Presentation,SX26-C-158,,​,​,​,​
Best Oral Presentation,SX26-C-159,,​,​,​,​
Best Oral Presentation,SX26-C-160,,​,​,​,​
Best Oral Presentation,SX26-C-161,,​,​,​,​
Best Oral Presentation,SX26-C-172,,​,​,​,​
Best Oral Presentation,SX26-C-173,,​,​,​,​
Best Oral Presentation,SX26-C-174,,​,​,​,​
Best Oral Presentation,SX26-C-175,,​,​,​,​
Best Oral Presentation,SX26-C-176,,​,​,​,​
