Certificate Type,Certificate No.,Prefix,Name,Authors,Affiliation,Title of Presentation
Best Poster Presentation,SX26-C-162,,​,​,​,​
Best Poster Presentation,SX26-C-163,,​,​,​,​
Best Poster Presentation,SX26-C-164,,​,​,​,​
Best Poster Presentation,SX26-C-165,,​,​,​,​
Best Poster Presentation,SX26-C-166,,​,​,​,​
Best Poster Presentation,SX26-C-167,,​,​,​,​
Best Poster Presentation,SX26-C-168,,​,​,​,​
Best Poster Presentation,SX26-C-169,,​,​,​,​
Best Poster Presentation,SX26-C-170,,​,​,​,​
Best Poster Presentation,SX26-C-171,,​,​,​,​
Best Poster Presentation,SX26-C-177,,​,​,​,​
Best Poster Presentation,SX26-C-178,,​,​,​,​
Best Poster Presentation,SX26-C-179,,​,​,​,​
Best Poster Presentation,SX26-C-180,,​,​,​,​
Best Poster Presentation,SX26-C-181,,​,​,​,​
